group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Streaks,240718A_MnTe_50min_182.png,226.98,0.0,206.17,1000000000.0,0.266
test,Streaks,240718A_MnTe_50min_363.png,153.27,0.0,173.06,1000000000.0,0.0
test,Streaks,240718A_MnTe_50min_401.png,39.8,0.0,0.0,1000000000.0,0.351
test,Streaks,240718A_MnTe_50min_41.png,148.61,0.0,163.61,1000000000.0,0.228
test,Streaks,240718A_MnTe_50min_597.png,112.35,0.0,169.1,1000000000.0,0.0
test,Streaks,240718A_MnTe_50min_797.png,105.74,0.0,142.27,1000000000.0,0.282
test,Streaks,240718A_MnTe_50min_896.png,40.7,0.0,0.0,1000000000.0,0.499
test,Streaks,240718A_MnTe_50min_991.png,43.27,0.0,0.0,1000000000.0,0.511
test,Streaks,240719B_MnTe_42mins_396.png,76.98,0.0,150.59,1000000000.0,0.351
test,Streaks,240719B_MnTe_42mins_517.png,65.41,0.0,0.0,1000000000.0,0.288
test,Streaks,240719B_MnTe_42mins_791.png,48.94,0.0,0.0,1000000000.0,0.275
test,Streaks,240719B_MnTe_42mins_892.png,99.07,0.0,142.39,1000000000.0,0.335
test,Streaks,240719B_MnTe_42mins_938.png,66.02,0.0,0.0,1000000000.0,0.313
test,Streaks,240729B_GaAs_MnTe_0min_171.png,88.1,198.82,80.92,0.5,0.401
test,Streaks,240729B_GaAs_MnTe_0min_581.png,79.87,338.83,82.57,0.3,0.376
test,Streaks,240729B_GaAs_MnTe_0min_670.png,86.52,244.17,80.16,0.41,0.414
test,Streaks,240729B_GaAs_MnTe_0min_76.png,86.45,188.42,45.44,0.53,0.332
test,Streaks,240729B_GaAs_MnTe_0min_810.png,88.41,0.0,80.06,1000000000.0,0.429
